# Pages that could carry a price and do not have one yet.
#
# Every row here is a page with a Product node in its JSON-LD but no offers
# block, because docs/build-prices.mjs strips offers from any page absent from
# prices.csv. So each row is a page currently eligible for no rich result.
#
# THIS FILE IS A QUEUE, NOT A SOURCE OF TRUTH. Nothing reads it at build time.
# prices.csv is still the only file that sets a published price.
#
# To price a page, fill in low_inr and high_inr on its row - and low_usd and
# high_usd, which the page shows as indicative only and are optional - then:
#
#   node docs/build-price-worklist.mjs --adopt   moves filled rows to prices.csv
#   node docs/build-prices.mjs                   writes them into the pages
#
# Adopted rows leave this file on the next refresh; rows left empty stay. Do not
# edit the url column: it is regenerated from the source tree, and a URL that
# matches no page is refused rather than adopted.
#
# Update the "# updated:" date in prices.csv when you finish a pricing pass.
# priceValidUntil is derived from it, so a price adopted into a stale file is
# published already expired.
#
# generated: 2026-08-20 by docs/build-price-worklist.mjs
# pending: 451 page(s)

url,low_inr,high_inr,low_usd,high_usd,unit
/kovar/foil/,,,,,kg
/kovar/plates/,,,,,kg
/kovar/round-bar/,,,,,kg
/kovar/sheets/,,,,,kg

# /monel-...  (7)  |  monel priced on 5 page(s) at INR 2,500-6,500 per kg
/monel-coil-supplier-exporter-mumbai-india/,,,,,kg
/monel-fittings-supplier-exporter-mumbai-india/,,,,,kg
/monel-hex-bars-supplier-exporter-mumbai-india/,,,,,kg
/monel-hollow-bars-supplier-exporter-mumbai-india/,,,,,kg
/monel-pipes-supplier-exporter-mumbai-india/,,,,,kg
/monel-tube-supplier-exporter-mumbai-india/,,,,,kg
/monel-wire-supplier-exporter-mumbai-india/,,,,,kg

# /monel/  (4)  |  monel priced on 5 page(s) at INR 2,500-6,500 per kg
/monel/foil/,,,,,kg
/monel/plates/,,,,,kg
/monel/round-bar/,,,,,kg
/monel/sheets/,,,,,kg

# /monel/400/  (1)  |  monel priced on 5 page(s) at INR 2,500-6,500 per kg
/monel/400/,,,,,kg

# /monel/405/  (1)  |  monel priced on 5 page(s) at INR 2,500-6,500 per kg
/monel/405/round-bar/,,,,,kg

# /monel/k-400/  (1)  |  monel priced on 5 page(s) at INR 2,500-6,500 per kg
/monel/k-400/sheets/,,,,,kg

# /monel/K-500/  (4)  |  monel priced on 5 page(s) at INR 2,500-6,500 per kg
/monel/K-500/foil/,,,,,kg
/monel/K-500/plates/,,,,,kg
/monel/K-500/round-bar/,,,,,kg
/monel/K-500/sheets/,,,,,kg

# /mu-metal/  (4)
/mu-metal/foil/,,,,,kg
/mu-metal/plates/,,,,,kg
/mu-metal/round-bar/,,,,,kg
/mu-metal/sheets/,,,,,kg

# /nichrome-...  (7)
